[HIGHEST OVERHEAD CATEGORY] Salary Expense: 29.92%
----------------------------------------------
[CASH DEFICIT] Day: 1, Amount: USD12600
[CASH DEFICIT] Day: 75, Amount: USD8681
[CASH DEFICIT] Day: 76, Amount: USD73859
[CASH SURPLUS] Day: 77, Amount: USD81650
[CASH SURPLUS] Day: 78, Amount: USD304611
[CASH DEFICIT] Day: 79, Amount: USD344603
[CASH SURPLUS] Day: 80, Amount: USD214260
[CASH SURPLUS] Day: 81, Amount: USD110637
[CASH DEFICIT] Day: 82, Amount: USD72485
[CASH DEFICIT] Day: 83, Amount: USD5817
[CASH DEFICIT] Day: 84, Amount: USD23393
[CASH SURPLUS] Day: 85, Amount: USD17586
[CASH DEFICIT] Day: 86, Amount: USD297258
[CASH SURPLUS] Day: 87, Amount: USD56618
[CASH SURPLUS] Day: 88, Amount: USD3822
[CASH SURPLUS] Day: 89, Amount: USD86022
[CASH SURPLUS] Day: 90, Amount: USD164377
[HIGHEST CASH SURPLUS] Day: 10, Amount: USD754970
----------------------------------------------
[NET PROFIT DEFICIT] Day: 1, Amount: USD12600
[NET PROFIT DEFICIT] Day: 2, Amount: USD267440
[NET PROFIT DEFICIT] Day: 3, Amount: USD14790
[NET PROFIT DEFICIT] Day: 4, Amount: USD14695
[NET PROFIT DEFICIT] Day: 5, Amount: USD15097
[NET PROFIT DEFICIT] Day: 6, Amount: USD19155
[NET PROFIT DEFICIT] Day: 7, Amount: USD18759
[NET PROFIT DEFICIT] Day: 8, Amount: USD36792
[NET PROFIT SURPLUS] Day: 9, Amount: USD397009
[NET PROFIT SURPLUS] Day: 10, Amount: USD83032
[NET PROFIT SURPLUS] Day: 11, Amount: USD111148
[NET PROFIT SURPLUS] Day: 12, Amount: USD127188
[NET PROFIT SURPLUS] Day: 13, Amount: USD124126
[NET PROFIT SURPLUS] Day: 14, Amount: USD713016
[NET PROFIT DEFICIT] Day: 15, Amount: USD16715
[NET PROFIT DEFICIT] Day: 16, Amount: USD21146
[NET PROFIT DEFICIT] Day: 17, Amount: USD2058
[NET PROFIT DEFICIT] Day: 18, Amount: USD5316
[NET PROFIT DEFICIT] Day: 19, Amount: USD29842
[NET PROFIT DEFICIT] Day: 20, Amount: USD10918
[NET PROFIT SURPLUS] Day: 21, Amount: USD21828
[NET PROFIT SURPLUS] Day: 22, Amount: USD8567
[NET PROFIT SURPLUS] Day: 23, Amount: USD4226
[NET PROFIT DEFICIT] Day: 24, Amount: USD37648
[NET PROFIT DEFICIT] Day: 25, Amount: USD53859
[NET PROFIT SURPLUS] Day: 26, Amount: USD2137
[NET PROFIT DEFICIT] Day: 27, Amount: USD7456
[NET PROFIT SURPLUS] Day: 28, Amount: USD57977
[NET PROFIT DEFICIT] Day: 29, Amount: USD8447
[NET PROFIT DEFICIT] Day: 30, Amount: USD13931
[NET PROFIT DEFICIT] Day: 31, Amount: USD14197
[NET PROFIT SURPLUS] Day: 32, Amount: USD121107
[NET PROFIT SURPLUS] Day: 33, Amount: USD171925
[NET PROFIT DEFICIT] Day: 34, Amount: USD11188
[NET PROFIT DEFICIT] Day: 35, Amount: USD33233
[NET PROFIT DEFICIT] Day: 36, Amount: USD34065
[NET PROFIT SURPLUS] Day: 37, Amount: USD103113
[NET PROFIT SURPLUS] Day: 38, Amount: USD113828
[NET PROFIT SURPLUS] Day: 39, Amount: USD174861
[NET PROFIT SURPLUS] Day: 40, Amount: USD175292
[NET PROFIT SURPLUS] Day: 41, Amount: USD10431
[NET PROFIT DEFICIT] Day: 42, Amount: USD21891
[NET PROFIT DEFICIT] Day: 43, Amount: USD43003
[NET PROFIT SURPLUS] Day: 44, Amount: USD44935
[NET PROFIT SURPLUS] Day: 45, Amount: USD152700
[NET PROFIT SURPLUS] Day: 46, Amount: USD34771
[NET PROFIT DEFICIT] Day: 47, Amount: USD46933
[NET PROFIT DEFICIT] Day: 48, Amount: USD27265
[NET PROFIT DEFICIT] Day: 49, Amount: USD28163
[NET PROFIT DEFICIT] Day: 50, Amount: USD413996
[NET PROFIT DEFICIT] Day: 51, Amount: USD63829
[NET PROFIT DEFICIT] Day: 52, Amount: USD120570
[NET PROFIT DEFICIT] Day: 53, Amount: USD53628
[NET PROFIT DEFICIT] Day: 54, Amount: USD53961
[NET PROFIT DEFICIT] Day: 55, Amount: USD24359
[NET PROFIT DEFICIT] Day: 56, Amount: USD7947
[NET PROFIT DEFICIT] Day: 57, Amount: USD28314
[NET PROFIT DEFICIT] Day: 58, Amount: USD22381
[NET PROFIT DEFICIT] Day: 59, Amount: USD42705
[NET PROFIT DEFICIT] Day: 60, Amount: USD33477
[NET PROFIT DEFICIT] Day: 61, Amount: USD38034
[NET PROFIT DEFICIT] Day: 62, Amount: USD1030324
[NET PROFIT DEFICIT] Day: 63, Amount: USD144846
[NET PROFIT DEFICIT] Day: 64, Amount: USD47389
[NET PROFIT SURPLUS] Day: 65, Amount: USD24110
[NET PROFIT DEFICIT] Day: 66, Amount: USD39076
[NET PROFIT DEFICIT] Day: 67, Amount: USD16354
[NET PROFIT DEFICIT] Day: 68, Amount: USD70944
[NET PROFIT DEFICIT] Day: 69, Amount: USD20446
[NET PROFIT DEFICIT] Day: 70, Amount: USD12092
[NET PROFIT SURPLUS] Day: 71, Amount: USD3185
[NET PROFIT DEFICIT] Day: 72, Amount: USD4992
[NET PROFIT DEFICIT] Day: 73, Amount: USD6785
[NET PROFIT DEFICIT] Day: 74, Amount: USD377622
[NET PROFIT DEFICIT] Day: 75, Amount: USD64734
[NET PROFIT DEFICIT] Day: 76, Amount: USD39541
[NET PROFIT DEFICIT] Day: 77, Amount: USD632
[NET PROFIT SURPLUS] Day: 78, Amount: USD114500
[NET PROFIT SURPLUS] Day: 79, Amount: USD85646
[NET PROFIT SURPLUS] Day: 80, Amount: USD68009
[NET PROFIT SURPLUS] Day: 81, Amount: USD23578
[NET PROFIT DEFICIT] Day: 82, Amount: USD32107
[NET PROFIT DEFICIT] Day: 83, Amount: USD33563
[NET PROFIT DEFICIT] Day: 84, Amount: USD40436
[NET PROFIT DEFICIT] Day: 85, Amount: USD21578
[NET PROFIT DEFICIT] Day: 86, Amount: USD39527
[NET PROFIT SURPLUS] Day: 87, Amount: USD12116
[NET PROFIT DEFICIT] Day: 88, Amount: USD34008
[NET PROFIT SURPLUS] Day: 89, Amount: USD25141
[NET PROFIT DEFICIT] Day: 90, Amount: USD14503
[HIGHEST NET PROFIT SURPLUS] Day: 14, Amount: USD713016
